rule_id,arm,representative_molecule,field,op,value,action,message,source,section,status
R01,SGLT2i,dapagliflozin,egfr,lt,45,EXCLUDE,"Not recommended to improve glycaemic control when eGFR < 45 mL/min/1.73 m2. KDIGO 2022 Rec 1.3.1 supports SGLT2i at eGFR >= 20 for kidney/heart protection - a different purpose; flag for the clinician.","FARXIGA (dapagliflozin) US prescribing information (DailyMed); KDIGO 2022 Diabetes in CKD","PI Sec 1 Limitations of Use, 2.2; KDIGO Rec 1.3.1",VERIFIED
R02,SGLT2i,dapagliflozin,t1d,eq,1,EXCLUDE,"Not recommended for glycaemic control in type 1 diabetes.","FARXIGA US prescribing information (DailyMed)","Sec 1 Limitations of Use",VERIFIED
R03,SGLT2i,dapagliflozin,dka_history,eq,1,CAUTION,"History of ketoacidosis: SGLT2 inhibitors carry a ketoacidosis warning; clinician review.","FARXIGA US prescribing information (DailyMed)","Sec 5.1 (to confirm)",UNVERIFIED
R04,DPP4i,sitagliptin,egfr,lt,45,CAUTION,"Renal dose adjustment required per label when eGFR < 45 mL/min/1.73 m2. This system never displays doses - consult the label.","JANUVIA (sitagliptin) US prescribing information (DailyMed)","Sec 2.2",VERIFIED
R05,DPP4i,sitagliptin,pancreatitis_history,eq,1,CAUTION,"Not studied in patients with a history of pancreatitis; acute pancreatitis reported after marketing.","JANUVIA US prescribing information (DailyMed)","Sec 1; 5.1",VERIFIED
R06,DPP4i,sitagliptin,hf,eq,1,CAUTION,"Heart failure observed with two other DPP-4 inhibitors (class-level); consider risks and benefits.","JANUVIA US prescribing information (DailyMed)","Sec 5.2",VERIFIED
R07,SU,glimepiride,hypo_history,eq,1,CAUTION,"Sulfonylureas can cause severe hypoglycaemia; prior hypoglycaemia increases concern.","Glimepiride US prescribing information (DailyMed)","Sec 5.1",VERIFIED
R08,SU,glimepiride,age,ge,65,CAUTION,"Older patients are at higher hypoglycaemia risk; label advises a conservative start. Age cut-off 65 is team-set.","Glimepiride US prescribing information (DailyMed)","Sec 2.1; 8.5",UNVERIFIED
R09,SU,glimepiride,egfr,lt,60,CAUTION,"Kidney impairment increases hypoglycaemia risk; label advises a conservative start. eGFR cut-off 60 is team-set.","Glimepiride US prescribing information (DailyMed)","Sec 2.1; 8.6",UNVERIFIED
R10,SU,glimepiride,egfr,lt,30,EXCLUDE,"Severe kidney impairment: team-set exclusion pending clinician and KDIGO confirmation.","Team rule pending review","TBD",UNVERIFIED
